Year,Month,Temperature (F),Rainfall (inches),Humidity (%)
2021,Jan,45,5.13,79
2021,Feb,47,3.71,75
2021,Mar,52,4.29,74
2021,Apr,58,2.92,69
2021,May,64,1.97,63
2021,Jun,70,1.38,57
2021,Jul,76,0.87,52
2021,Aug,76,0.67,54
2021,Sep,70,1.5,65
2021,Oct,60,4.37,77
2021,Nov,49,6.18,84
2021,Dec,43,6.21,86
2022,Jan,43,5.02,84
2022,Feb,46,4.37,80
2022,Mar,50,4.57,78
2022,Apr,56,3.23,71
2022,May,62,2.16,64
2022,Jun,69,1.44,59
2022,Jul,76,0.95,53
2022,Aug,77,0.72,54
2022,Sep,71,1.56,66
2022,Oct,60,4.49,78
2022,Nov,49,6.29,84
2022,Dec,42,6.05,87
