Year,Month,Temperature (F),Rainfall (inches),Humidity (%)
2021,Jan,31,0.5,75
2021,Feb,37,0.75,68
2021,Mar,48,0.63,62
2021,Apr,58,0.4,55
2021,May,70,0.2,42
2021,Jun,83,0.1,30
2021,Jul,91,0.05,20
2021,Aug,87,0.15,28
2021,Sep,76,0.25,38
2021,Oct,63,0.6,52
2021,Nov,49,0.45,65
2021,Dec,36,0.8,80
2022,Jan,32,0.6,73
2022,Feb,35,0.8,66
2022,Mar,51,0.45,58
2022,Apr,60,0.3,52
2022,May,71,0.25,42
2022,Jun,85,0.1,30
2022,Jul,94,0.05,18
2022,Aug,89,0.2,27
2022,Sep,79,0.35,36
2022,Oct,61,0.65,53
2022,Nov,47,0.55,65
2022,Dec,33,0.9,79
