Year,Month,Temperature (F),Rainfall (inches),Humidity (%)
2021,Jan,51,3.46,68
2021,Feb,54,3.95,67
2021,Mar,60,4.54,65
2021,Apr,67,3.9,62
2021,May,74,3.85,62
2021,Jun,80,3.78,63
2021,Jul,84,4.71,65
2021,Aug,83,4.16,67
2021,Sep,77,4.17,68
2021,Oct,68,4.24,69
2021,Nov,58,4.41,70
2021,Dec,51,3.64,68
2022,Jan,50,3.32,67
2022,Feb,54,4.02,66
2022,Mar,61,4.29,64
2022,Apr,68,3.87,61
2022,May,75,3.72,60
2022,Jun,81,3.8,61
2022,Jul,86,4.52,64
2022,Aug,85,4.09,66
2022,Sep,78,4.26,68
2022,Oct,69,4.31,69
2022,Nov,60,4.48,71
2022,Dec,53,3.78,68
