Year,Month,Temperature (F),Rainfall (inches),Humidity (%)
2021,Jan,27,1.1,72
2021,Feb,28,1.2,69
2021,Mar,37,1.8,62
2021,Apr,52,2.4,55
2021,May,66,3.2,48
2021,Jun,75,3.6,52
2021,Jul,80,3,49
2021,Aug,78,4.1,55
2021,Sep,70,2.8,57
2021,Oct,58,2.3,62
2021,Nov,44,1.8,68
2021,Dec,32,1.5,74
2022,Jan,22,1,70
2022,Feb,25,1.1,67
2022,Mar,39,1.7,59
2022,Apr,56,2.3,51
2022,May,69,3,45
2022,Jun,78,3.5,49
2022,Jul,82,3.2,48
2022,Aug,77,4,53
2022,Sep,68,2.5,59
2022,Oct,55,2.1,64
2022,Nov,41,1.7,70
2022,Dec,29,1.4,76
