Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,37.2,0.6,55
2021,Feb,41.9,0.8,52
2021,Mar,50.6,1.2,48
2021,Apr,57.3,1.8,44
2021,May,68.4,2.4,40
2021,Jun,80.2,2,36
2021,Jul,87.6,1.5,31
2021,Aug,84.5,1.4,33
2021,Sep,76.4,1,38
2021,Oct,63.3,1.1,42
2021,Nov,48.7,0.9,48
2021,Dec,38.2,0.7,53
2022,Jan,35.9,0.5,56
2022,Feb,41.2,0.7,53
2022,Mar,49.9,1.1,49
2022,Apr,58.1,1.7,45
2022,May,68.9,2.3,41
2022,Jun,81.1,2.1,37
2022,Jul,88.9,1.6,32
2022,Aug,86.3,1.5,34
2022,Sep,77.8,1.1,39
2022,Oct,63.9,1.2,43
2022,Nov,49.9,1,49
2022,Dec,38.7,0.8,54
