Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,26.7,2.2,75
2021,Feb,30.2,2,71
2021,Mar,38.1,2.5,67
2021,Apr,49.9,2.8,63
2021,May,60.2,3.1,60
2021,Jun,69.3,3.5,62
2021,Jul,75.4,3.4,64
2021,Aug,74.9,3.2,65
2021,Sep,66.6,2.9,68
2021,Oct,54.6,2.5,70
2021,Nov,42.3,2.3,72
2021,Dec,32.1,2.1,74
2022,Jan,24.6,2.3,77
2022,Feb,28.1,2.1,73
2022,Mar,36.5,2.4,69
2022,Apr,48.3,2.7,65
2022,May,58.7,3,62
2022,Jun,67.8,3.4,64
2022,Jul,74.2,3.3,66
2022,Aug,73.7,3.1,67
2022,Sep,65.3,2.8,70
2022,Oct,53.3,2.4,72
2022,Nov,41.1,2.2,74
2022,Dec,30.9,2,76
