Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,59.8,3,77
2021,Feb,62.4,2.7,74
2021,Mar,69.2,4.1,72
2021,Apr,76.1,3.9,70
2021,May,82.3,5.6,71
2021,Jun,87.6,6.2,75
2021,Jul,92,6.1,77
2021,Aug,92.2,6.9,75
2021,Sep,88.8,6.3,74
2021,Oct,81.4,4.1,71
2021,Nov,69.2,2.8,73
2021,Dec,62.9,2.4,76
2022,Jan,58.8,3.2,78
2022,Feb,61.9,2.8,75
2022,Mar,68.5,4,73
2022,Apr,75.6,3.8,71
2022,May,81.6,5.5,72
2022,Jun,86.9,6,76
2022,Jul,91.6,6.2,78
2022,Aug,91.8,7.1,76
2022,Sep,88.3,6.5,75
2022,Oct,80.9,4.2,72
2022,Nov,68.6,2.9,74
2022,Dec,62.3,2.5,77
