Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,72.1,1.8,68
2021,Feb,74.6,2.4,70
2021,Mar,77.8,2.2,71
2021,Apr,82.3,3.1,73
2021,May,85.7,5.5,75
2021,Jun,88.9,6.7,78
2021,Jul,90.2,5.9,80
2021,Aug,90.1,6.3,81
2021,Sep,88.7,6.2,79
2021,Oct,84.3,3.9,76
2021,Nov,79.1,2.7,73
2021,Dec,74.6,1.9,69
2022,Jan,72.9,2.1,70
2022,Feb,75.4,2.5,72
2022,Mar,77.8,2.3,73
2022,Apr,81.5,3.2,75
2022,May,85.3,5.6,77
2022,Jun,88.2,6.9,80
2022,Jul,90.1,5.8,82
2022,Aug,90.2,6.1,83
2022,Sep,88.2,6,81
2022,Oct,84.1,3.8,78
2022,Nov,79.3,2.6,74
2022,Dec,75.1,2,70
