Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,41.3,3.1,69
2021,Feb,44.2,2.8,62
2021,Mar,55.9,4,55
2021,Apr,65.2,3.7,49
2021,May,73.1,5.2,53
2021,Jun,82.5,4.7,60
2021,Jul,90.3,3.3,58
2021,Aug,89.1,3.7,61
2021,Sep,81.2,3.6,64
2021,Oct,67.9,2.6,61
2021,Nov,51.4,3.3,66
2021,Dec,42.8,3,71
2022,Jan,38.1,2.9,75
2022,Feb,43.9,2.6,69
2022,Mar,54.5,3.7,59
2022,Apr,63.8,3.4,52
2022,May,72.4,4.7,56
2022,Jun,80.9,4.2,63
2022,Jul,89.5,3,61
2022,Aug,88.3,3.3,64
2022,Sep,80.5,3.2,67
2022,Oct,67.1,2.3,64
2022,Nov,49.9,2.9,69
2022,Dec,41.3,2.6,74
