Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,47.3,7.9,78
2021,Feb,50.8,6.4,75
2021,Mar,53.2,4.6,71
2021,Apr,57.8,3.1,66
2021,May,62.3,2,61
2021,Jun,68.6,1.4,57
2021,Jul,74.1,0.8,53
2021,Aug,73.9,0.9,56
2021,Sep,68.9,1.8,64
2021,Oct,59.8,3.9,73
2021,Nov,51.6,6.1,80
2021,Dec,46.2,8.2,83
2022,Jan,47.9,7.5,79
2022,Feb,51.3,6,76
2022,Mar,53.9,4.2,72
2022,Apr,58.5,3.5,67
2022,May,63,1.9,62
2022,Jun,69.2,1.2,58
2022,Jul,74.7,0.7,54
2022,Aug,74.5,0.8,57
2022,Sep,69.5,1.7,65
2022,Oct,60.4,3.8,74
2022,Nov,52.2,6,81
2022,Dec,46.8,8.1,84
