Year,Month,Temperature (°F),Rainfall (in),Humidity (%)
2021,Jan,64.3,0.8,41
2021,Feb,68.9,0.7,39
2021,Mar,75.2,0.6,36
2021,Apr,83.1,0.2,27
2021,May,93.8,0.1,20
2021,Jun,104.2,0.2,17
2021,Jul,107.9,1.1,28
2021,Aug,105.1,1.2,33
2021,Sep,100.5,0.6,37
2021,Oct,89.2,0.5,39
2021,Nov,75.8,0.6,42
2021,Dec,64.9,0.7,41
2022,Jan,65.1,0.6,43
2022,Feb,69.8,0.5,40
2022,Mar,76.2,0.4,37
2022,Apr,84.1,0.3,29
2022,May,94.8,0.2,22
2022,Jun,105.2,0.1,18
2022,Jul,108.9,0.8,29
2022,Aug,106.1,1,34
2022,Sep,101.5,0.5,38
2022,Oct,90.2,0.4,41
2022,Nov,76.8,0.5,44
2022,Dec,65.9,0.6,43
